Time,C6_avg,psi6,V,S-2,S-1,S0
289.9999,3.18667,0.14999,2.0,0.0,0.0,0.0
299.9999,3.01333,0.17343,2.0,0.0,0.0,0.0
319.9999,2.88667,0.1913,2.0,0.0,0.0,0.0
329.9999,3.05333,0.23633,2.0,0.0,0.0,0.0
339.9999,3.05333,0.24557,2.0,0.0,0.0,0.0
349.9999,3.1266700000000003,0.14859,2.0,0.0,0.0,0.0
379.9999,3.1,0.14639000000000002,2.0,0.0,0.0,0.0
389.9999,2.98667,0.15780999999999998,2.0,0.0,0.0,0.0
399.9999,3.05333,0.15322,2.0,0.0,0.0,0.0
409.9999,2.83333,0.09951,2.0,0.0,0.0,0.0
449.9999,2.92667,0.02492,2.0,0.0,0.0,0.0
459.9999,3.20667,0.0782,2.0,0.0,0.0,0.0
489.9999,3.18,0.05334,2.0,0.0,0.0,0.0
499.9999,3.16667,0.07537999999999999,2.0,0.0,0.0,0.0
509.9999,3.07333,0.05841,2.0,0.0,0.0,0.0
519.9999,2.82667,0.04691,2.0,0.0,0.0,0.0
539.9999,2.96667,0.0538,2.0,0.0,0.0,0.0
549.9999,3.08,0.04513,2.0,0.0,0.0,0.0
569.9999,3.04667,0.10135,2.0,0.0,0.0,0.0
589.9999,3.20667,0.07553,2.0,0.0,0.0,0.0
609.9999,3.24667,0.12128,2.0,0.0,0.0,0.0
639.9999,3.02,0.18039,2.0,0.0,0.0,0.0
649.9999,3.1266700000000003,0.10984,2.0,0.0,0.0,0.0
689.9999,3.16,0.10793,2.0,0.0,0.0,0.0
699.9999,3.17333,0.10194,2.0,0.0,0.0,0.0
709.9999,3.22,0.0755,2.0,0.0,0.0,0.0
719.9999,3.02,0.01177,2.0,0.0,0.0,0.0
729.9999,3.23333,0.08544,2.0,0.0,0.0,0.0
739.9999,3.18,0.053979999999999986,2.0,0.0,0.0,0.0
749.9999,3.22,0.051620000000000006,2.0,0.0,0.0,0.0
759.9999,3.04667,0.07286000000000001,2.0,0.0,0.0,0.0
779.9999,3.16667,0.17816,2.0,0.0,0.0,0.0
