#time,cat_index,cat,V_level
0,0,Fluid,2
5,0,Fluid,2
10,0,Fluid,2
15,0,Fluid,2
20,0,Fluid,2
25,0,Fluid,2
30,0,Fluid,2
35,0,Fluid,2
40,0,Fluid,2
45,0,Fluid,2
50,0,Fluid,2
55,0,Fluid,2
60,0,Fluid,2
65,0,Fluid,2
70,0,Fluid,2
75,0,Fluid,2
80,0,Fluid,2
85,0,Fluid,2
90,0,Fluid,2
95,0,Fluid,2
100,0,Fluid,2
105,0,Fluid,2
110,0,Fluid,2
115,0,Fluid,2
120,0,Fluid,2
125,0,Fluid,2
130,0,Fluid,2
135,0,Fluid,2
140,0,Fluid,2
145,0,Fluid,2
150,0,Fluid,2
155,0,Fluid,2
160,0,Fluid,2
165,0,Fluid,2
170,0,Fluid,2
175,0,Fluid,2
180,0,Fluid,2
185,0,Fluid,2
190,0,Fluid,2
195,0,Fluid,2
200,0,Fluid,2
205,0,Fluid,2
210,0,Fluid,2
215,0,Fluid,2
220,0,Fluid,2
225,0,Fluid,2
230,0,Fluid,2
235,0,Fluid,2
240,0,Fluid,2
245,0,Fluid,2
250,0,Fluid,2
255,0,Fluid,2
260,0,Fluid,2
265,0,Fluid,2
270,0,Fluid,2
275,0,Fluid,2
280,0,Fluid,2
285,0,Fluid,2
290,0,Fluid,2
295,0,Fluid,2
300,0,Fluid,2
305,0,Fluid,2
310,0,Fluid,2
315,0,Fluid,2
320,0,Fluid,2
325,0,Fluid,2
330,0,Fluid,2
335,0,Fluid,2
340,0,Fluid,2
345,0,Fluid,2
350,0,Fluid,2
355,0,Fluid,2
360,0,Fluid,2
365,0,Fluid,2
370,0,Fluid,2
375,0,Fluid,2
380,0,Fluid,2
385,0,Fluid,2
390,0,Fluid,2
395,0,Fluid,2
400,0,Fluid,2
405,0,Fluid,2
410,0,Fluid,2
415,0,Fluid,2
420,0,Fluid,2
425,0,Fluid,2
430,0,Fluid,2
435,0,Fluid,2
440,0,Fluid,2
445,0,Fluid,2
450,0,Fluid,2
455,0,Fluid,2
460,0,Fluid,2
465,0,Fluid,2
470,0,Fluid,2
475,0,Fluid,2
480,0,Fluid,2
485,0,Fluid,2
490,0,Fluid,2
495,0,Fluid,2
500,0,Fluid,2
505,0,Fluid,2
510,0,Fluid,2
515,0,Fluid,2
520,0,Fluid,2
525,0,Fluid,2
530,0,Fluid,2
535,0,Fluid,2
540,0,Fluid,2
545,0,Fluid,2
550,0,Fluid,2
555,0,Fluid,2
560,0,Fluid,2
565,0,Fluid,2
570,0,Fluid,2
575,0,Fluid,2
580,0,Fluid,2
585,0,Fluid,2
590,0,Fluid,2
595,0,Fluid,2
600,0,Fluid,2
605,0,Fluid,2
610,0,Fluid,2
615,0,Fluid,2
620,0,Fluid,2
625,0,Fluid,2
630,0,Fluid,2
635,0,Fluid,2
640,0,Fluid,2
645,0,Fluid,2
650,0,Fluid,2
655,0,Fluid,2
660,0,Fluid,2
665,0,Fluid,2
670,0,Fluid,2
675,0,Fluid,2
680,0,Fluid,2
685,0,Fluid,2
690,0,Fluid,2
695,0,Fluid,2
700,0,Fluid,2
705,0,Fluid,2
710,0,Fluid,2
715,0,Fluid,2
720,0,Fluid,2
725,0,Fluid,2
730,0,Fluid,2
735,0,Fluid,2
740,0,Fluid,2
745,0,Fluid,2
750,0,Fluid,2
755,0,Fluid,2
760,0,Fluid,2
765,0,Fluid,2
770,0,Fluid,2
775,0,Fluid,2
780,0,Fluid,2
785,0,Fluid,2
790,0,Fluid,2
795,0,Fluid,2
800,0,Fluid,2
805,0,Fluid,2
810,0,Fluid,2
815,0,Fluid,2
820,0,Fluid,2
825,0,Fluid,2
830,0,Fluid,2
835,0,Fluid,2
840,0,Fluid,2
845,0,Fluid,2
850,0,Fluid,2
855,0,Fluid,2
860,0,Fluid,2
865,0,Fluid,2
870,0,Fluid,2
875,0,Fluid,2
880,0,Fluid,2
885,0,Fluid,2
890,0,Fluid,2
895,0,Fluid,2
900,0,Fluid,2
905,0,Fluid,2
910,0,Fluid,2
915,0,Fluid,2
920,0,Fluid,2
925,0,Fluid,2
930,0,Fluid,2
935,0,Fluid,2
940,0,Fluid,2
945,0,Fluid,2
950,0,Fluid,2
955,0,Fluid,2
960,0,Fluid,2
965,0,Fluid,2
970,0,Fluid,2
975,0,Fluid,2
980,0,Fluid,2
985,0,Fluid,2
990,0,Fluid,2
995,0,Fluid,2
