Time,C6_avg,psi6,V,S-4,S-3,S-2,S-1,S0
694.9999,3.4,0.051779999999999986,2.0,0.0,0.0,0.0,0.0,0.0
699.9999,3.32,0.0891,2.0,0.0,0.0,0.0,0.0,0.0
704.9999,3.43333,0.14152,2.0,0.0,0.0,0.0,0.0,0.0
709.9999,3.44667,0.1503,2.0,0.0,0.0,0.0,0.0,0.0
714.9999,3.31333,0.15589,2.0,0.0,0.0,0.0,0.0,0.0
719.9999,3.13333,0.17557,2.0,0.0,0.0,0.0,0.0,0.0
724.9999,3.09333,0.10409000000000003,2.0,0.0,0.0,0.0,0.0,0.0
729.9999,3.11333,0.10811,2.0,0.0,0.0,0.0,0.0,0.0
734.9999,3.13333,0.09586,2.0,0.0,0.0,0.0,0.0,0.0
739.9999,3.13333,0.13646,2.0,0.0,0.0,0.0,0.0,0.0
744.9999,3.04667,0.13265,2.0,0.0,0.0,0.0,0.0,0.0
749.9999,3.22667,0.16856,2.0,0.0,0.0,0.0,0.0,0.0
754.9999,3.11333,0.1327,2.0,0.0,0.0,0.0,0.0,0.0
759.9999,3.3,0.11658,2.0,0.0,0.0,0.0,0.0,0.0
764.9999,3.33333,0.07497999999999999,2.0,0.0,0.0,0.0,0.0,0.0
769.9999,3.34,0.05317,2.0,0.0,0.0,0.0,0.0,0.0
774.9999,3.26667,0.08819,2.0,0.0,0.0,0.0,0.0,0.0
779.9999,3.2866699999999995,0.04922,2.0,0.0,0.0,0.0,0.0,0.0
784.9999,3.09333,0.05989,2.0,0.0,0.0,0.0,0.0,0.0
789.9999,3.38,0.20382,2.0,0.0,0.0,0.0,0.0,0.0
794.9999,3.48667,0.14911,2.0,0.0,0.0,0.0,0.0,0.0
799.9999,3.37333,0.17582,2.0,0.0,0.0,0.0,0.0,0.0
804.9999,3.44667,0.18316,2.0,0.0,0.0,0.0,0.0,0.0
809.9999,3.44667,0.22039,2.0,0.0,0.0,0.0,0.0,0.0
814.9999,3.33333,0.21677,2.0,0.0,0.0,0.0,0.0,0.0
819.9999,3.34667,0.18136,2.0,0.0,0.0,0.0,0.0,0.0
824.9999,3.38667,0.18804,2.0,0.0,0.0,0.0,0.0,0.0
829.9999,3.26,0.20643000000000006,2.0,0.0,0.0,0.0,0.0,0.0
