#step,cat_index,cat,V 
269,1,Defective,5
270,1,Defective,5
271,1,Defective,5
272,1,Defective,5
273,1,Defective,5
274,1,Defective,5
275,1,Defective,5
276,1,Defective,5
277,1,Defective,5
278,1,Defective,5
279,1,Defective,5
280,1,Defective,5
281,1,Defective,5
282,1,Defective,5
283,1,Defective,5
284,1,Defective,5
285,1,Defective,5
286,1,Defective,5
287,1,Defective,5
288,1,Defective,5
289,1,Defective,5
290,1,Defective,5
291,1,Defective,5
292,1,Defective,5
293,1,Defective,5
294,1,Defective,5
295,1,Defective,5
296,1,Defective,5
297,1,Defective,5
298,1,Defective,5
299,1,Defective,5
300,1,Defective,5
301,1,Defective,5
302,1,Defective,5
303,1,Defective,5
304,1,Defective,5
305,1,Defective,5
306,1,Defective,5
307,1,Defective,5
308,1,Defective,5
309,1,Defective,5
310,1,Defective,5
311,1,Defective,5
312,1,Defective,5
313,1,Defective,5
314,1,Defective,5
315,1,Defective,5
316,1,Defective,5
317,2,Crystal,5
318,2,Crystal,5
319,2,Crystal,5
320,2,Crystal,5
321,2,Crystal,5
322,2,Crystal,5
323,2,Crystal,5
324,2,Crystal,5
325,2,Crystal,5
326,2,Crystal,5
327,2,Crystal,5
328,2,Crystal,5
329,2,Crystal,5
330,2,Crystal,5
331,2,Crystal,5
332,2,Crystal,5
333,2,Crystal,5
334,2,Crystal,5
335,2,Crystal,5
336,2,Crystal,5
337,2,Crystal,5
338,2,Crystal,5
339,2,Crystal,5
340,2,Crystal,5
341,2,Crystal,5
342,2,Crystal,5
343,2,Crystal,5
344,2,Crystal,5
345,2,Crystal,5
346,2,Crystal,5
347,2,Crystal,5
348,2,Crystal,5
349,2,Crystal,5
350,2,Crystal,5
351,2,Crystal,5
352,2,Crystal,5
353,2,Crystal,5
354,2,Crystal,5
355,2,Crystal,5
356,2,Crystal,5
357,2,Crystal,5
358,2,Crystal,5
359,2,Crystal,5
360,2,Crystal,5
361,2,Crystal,5
362,2,Crystal,5
363,2,Crystal,5
364,2,Crystal,5
365,2,Crystal,5
366,2,Crystal,5
367,2,Crystal,5
368,2,Crystal,5
369,2,Crystal,5
370,2,Crystal,5
371,2,Crystal,5
372,2,Crystal,5
373,2,Crystal,5
374,2,Crystal,5
375,2,Crystal,5
376,2,Crystal,5
377,2,Crystal,5
378,2,Crystal,5
379,2,Crystal,5
380,2,Crystal,5
381,2,Crystal,5
382,2,Crystal,5
383,2,Crystal,5
384,2,Crystal,5
385,2,Crystal,5
386,2,Crystal,5
387,2,Crystal,5
388,2,Crystal,5
389,2,Crystal,5
390,2,Crystal,5
391,2,Crystal,5
392,2,Crystal,5
393,2,Crystal,5
394,2,Crystal,5
395,2,Crystal,5
396,2,Crystal,5
397,2,Crystal,5
398,2,Crystal,5
399,2,Crystal,5
400,2,Crystal,5
401,2,Crystal,5
402,2,Crystal,5
403,2,Crystal,5
404,2,Crystal,5
405,2,Crystal,5
406,2,Crystal,5
407,2,Crystal,5
408,2,Crystal,5
409,2,Crystal,5
410,2,Crystal,5
411,2,Crystal,5
412,2,Crystal,5
413,2,Crystal,5
414,2,Crystal,5
415,2,Crystal,5
416,2,Crystal,5
417,2,Crystal,5
418,2,Crystal,5
419,2,Crystal,5
420,2,Crystal,5
421,2,Crystal,5
422,2,Crystal,5
423,2,Crystal,5
424,2,Crystal,5
425,2,Crystal,5
426,2,Crystal,5
427,2,Crystal,5
428,2,Crystal,5
429,2,Crystal,5
430,2,Crystal,5
431,2,Crystal,5
432,2,Crystal,5
433,2,Crystal,5
434,2,Crystal,5
435,2,Crystal,5
436,2,Crystal,5
437,2,Crystal,5
438,2,Crystal,5
439,2,Crystal,5
440,2,Crystal,5
441,2,Crystal,5
442,2,Crystal,5
443,2,Crystal,5
444,2,Crystal,5
445,2,Crystal,5
446,1,Defective,5
447,2,Crystal,5
448,2,Crystal,5
449,2,Crystal,5
450,2,Crystal,5
451,2,Crystal,5
452,2,Crystal,5
453,2,Crystal,5
454,2,Crystal,5
455,2,Crystal,5
456,2,Crystal,5
457,2,Crystal,5
458,2,Crystal,5
459,2,Crystal,5
460,2,Crystal,5
461,2,Crystal,5
462,2,Crystal,5
463,2,Crystal,5
464,2,Crystal,5
465,2,Crystal,5
466,2,Crystal,5
467,2,Crystal,5
468,2,Crystal,5
469,2,Crystal,5
470,2,Crystal,5
471,2,Crystal,5
472,2,Crystal,5
473,2,Crystal,5
474,2,Crystal,5
475,2,Crystal,5
476,2,Crystal,5
477,2,Crystal,5
478,2,Crystal,5
479,2,Crystal,5
480,2,Crystal,5
481,2,Crystal,5
482,2,Crystal,5
483,2,Crystal,5
484,2,Crystal,5
485,2,Crystal,5
486,2,Crystal,5
487,2,Crystal,5
488,2,Crystal,5
489,2,Crystal,5
490,2,Crystal,5
491,2,Crystal,5
492,2,Crystal,5
493,2,Crystal,5
494,2,Crystal,5
495,2,Crystal,5
496,2,Crystal,5
497,2,Crystal,5
498,2,Crystal,5
499,2,Crystal,5
500,2,Crystal,5
501,2,Crystal,5
502,2,Crystal,5
503,2,Crystal,5
504,2,Crystal,5
505,2,Crystal,5
506,2,Crystal,5
507,2,Crystal,5
508,1,Defective,5
509,2,Crystal,5
510,2,Crystal,5
511,1,Defective,5
512,2,Crystal,5
513,2,Crystal,5
514,2,Crystal,5
515,2,Crystal,5
516,2,Crystal,5
517,2,Crystal,5
518,2,Crystal,5
519,2,Crystal,5
520,2,Crystal,5
521,2,Crystal,5
522,2,Crystal,5
523,2,Crystal,5
524,2,Crystal,5
525,2,Crystal,5
526,2,Crystal,5
527,2,Crystal,5
528,2,Crystal,5
529,2,Crystal,5
530,2,Crystal,5
531,1,Defective,5
532,1,Defective,5
533,1,Defective,5
534,2,Crystal,5
535,2,Crystal,5
536,2,Crystal,5
537,1,Defective,5
538,2,Crystal,5
539,2,Crystal,5
540,2,Crystal,5
541,1,Defective,5
542,2,Crystal,5
543,2,Crystal,5
544,2,Crystal,5
545,2,Crystal,5
546,2,Crystal,5
547,2,Crystal,5
548,2,Crystal,5
549,2,Crystal,5
550,2,Crystal,5
551,2,Crystal,5
552,2,Crystal,5
553,2,Crystal,5
554,2,Crystal,5
555,2,Crystal,5
556,2,Crystal,5
557,2,Crystal,5
558,2,Crystal,5
559,2,Crystal,5
560,2,Crystal,5
561,2,Crystal,5
562,2,Crystal,5
563,2,Crystal,5
564,2,Crystal,5
565,2,Crystal,5
566,2,Crystal,5
567,2,Crystal,5
568,2,Crystal,5
569,2,Crystal,5
570,2,Crystal,5
571,2,Crystal,5
572,2,Crystal,5
573,2,Crystal,5
574,2,Crystal,5
575,2,Crystal,5
576,2,Crystal,5
577,2,Crystal,5
578,2,Crystal,5
579,2,Crystal,5
580,2,Crystal,5
581,2,Crystal,5
582,2,Crystal,5
583,2,Crystal,5
584,2,Crystal,5
585,2,Crystal,5
586,2,Crystal,5
587,2,Crystal,5
588,2,Crystal,5
589,2,Crystal,5
590,2,Crystal,5
591,2,Crystal,5
592,2,Crystal,5
593,2,Crystal,5
594,2,Crystal,5
595,2,Crystal,5
596,2,Crystal,5
597,2,Crystal,5
598,2,Crystal,5
599,2,Crystal,5
600,2,Crystal,5
601,2,Crystal,5
602,2,Crystal,5
603,2,Crystal,5
604,2,Crystal,5
605,2,Crystal,5
606,2,Crystal,5
607,2,Crystal,5
608,2,Crystal,5
609,2,Crystal,5
610,2,Crystal,5
611,2,Crystal,5
612,2,Crystal,5
613,2,Crystal,5
614,2,Crystal,5
615,2,Crystal,5
616,2,Crystal,5
617,1,Defective,5
618,2,Crystal,5
619,2,Crystal,5
620,2,Crystal,5
621,2,Crystal,5
622,2,Crystal,5
623,2,Crystal,5
624,2,Crystal,5
625,2,Crystal,5
626,2,Crystal,5
627,2,Crystal,5
628,2,Crystal,5
629,2,Crystal,5
630,2,Crystal,5
631,2,Crystal,5
632,2,Crystal,5
633,2,Crystal,5
634,2,Crystal,5
635,2,Crystal,5
636,2,Crystal,5
637,2,Crystal,5
638,2,Crystal,5
639,2,Crystal,5
640,2,Crystal,5
641,2,Crystal,5
642,2,Crystal,5
643,2,Crystal,5
644,2,Crystal,5
645,2,Crystal,5
646,2,Crystal,5
647,2,Crystal,5
648,2,Crystal,5
649,2,Crystal,5
650,2,Crystal,5
651,2,Crystal,5
652,2,Crystal,5
653,2,Crystal,5
654,2,Crystal,5
655,2,Crystal,5
656,2,Crystal,5
657,2,Crystal,5
658,2,Crystal,5
659,2,Crystal,5
660,2,Crystal,5
661,2,Crystal,5
662,2,Crystal,5
663,2,Crystal,5
664,2,Crystal,5
665,2,Crystal,5
