Time,C6_avg,psi6,V,S_cnn,S_param,Path,Step
549.9999,4.21333,0.45349,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,55
619.9999,4.66,0.39135,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,62
629.9999,4.38667,0.44045,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,63
639.9999,4.3,0.39558,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,64
649.9999,4.20667,0.41509,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,65
659.9999,4.09333,0.38792,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,66
739.9999,4.473330000000002,0.58448,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,74
789.9999,4.75333,0.63689,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,79
799.9999,4.74,0.6767,3.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,80
809.9999,4.63333,0.63138,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,81
819.9999,5.34667,0.91628,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,82
859.9999,5.513330000000002,0.97056,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,86
869.9999,5.55333,0.99534,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,87
889.9999,5.56,0.99656,4.0,1.0,2.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,89
939.9999,4.5666699999999985,0.62864,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,94
959.9999,4.44667,0.58281,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,96
969.9999,4.42,0.5724899999999999,3.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,97
979.9999,4.56,0.57957,3.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,98
989.9999,4.4,0.59696,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,99
999.9999,4.46,0.6197,3.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T3,100
309.9999,4.38,0.27072,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T1,31
319.9999,4.16,0.24971,1.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T1,32
329.9999,4.026669999999998,0.21043,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T1,33
349.9999,4.04,0.19215,2.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T1,35
519.9999,4.63333,0.17369,3.0,0.0,1.0,/home/lizano/Documents/CSA-Loop/SNN/DS/VR/10s/T1,52
