,S-1,S-2,S-3,S-4,V
144,2.0,2.0,2.0,2.0,4.0
145,2.0,2.0,2.0,2.0,4.0
146,2.0,2.0,2.0,2.0,4.0
147,2.0,2.0,2.0,2.0,4.0
148,2.0,2.0,2.0,2.0,4.0
149,2.0,2.0,2.0,2.0,4.0
150,2.0,2.0,2.0,2.0,4.0
151,2.0,2.0,2.0,2.0,4.0
152,2.0,2.0,2.0,2.0,4.0
153,2.0,2.0,2.0,2.0,4.0
154,2.0,2.0,2.0,2.0,4.0
155,2.0,2.0,2.0,2.0,4.0
156,2.0,2.0,2.0,2.0,4.0
157,2.0,2.0,2.0,2.0,4.0
158,2.0,2.0,2.0,2.0,4.0
159,2.0,2.0,2.0,2.0,4.0
160,2.0,2.0,2.0,2.0,4.0
161,2.0,2.0,2.0,2.0,4.0
162,2.0,2.0,2.0,2.0,4.0
163,2.0,2.0,2.0,2.0,4.0
164,2.0,2.0,2.0,2.0,4.0
165,2.0,2.0,2.0,2.0,4.0
166,2.0,2.0,2.0,2.0,4.0
167,2.0,2.0,2.0,2.0,4.0
168,2.0,2.0,2.0,2.0,4.0
169,2.0,2.0,2.0,2.0,4.0
170,2.0,2.0,2.0,2.0,4.0
171,2.0,2.0,2.0,2.0,4.0
172,2.0,2.0,2.0,2.0,4.0
173,2.0,2.0,2.0,2.0,4.0
174,2.0,2.0,2.0,2.0,4.0
175,2.0,2.0,2.0,2.0,4.0
176,2.0,2.0,2.0,2.0,4.0
177,2.0,2.0,2.0,2.0,4.0
178,2.0,2.0,2.0,2.0,4.0
179,2.0,2.0,2.0,2.0,4.0
180,2.0,2.0,2.0,2.0,4.0
181,2.0,2.0,2.0,2.0,4.0
182,2.0,2.0,2.0,2.0,4.0
183,2.0,2.0,2.0,2.0,4.0
184,2.0,2.0,2.0,2.0,4.0
185,2.0,2.0,2.0,2.0,4.0
186,2.0,2.0,2.0,2.0,4.0
187,2.0,2.0,2.0,2.0,4.0
188,2.0,2.0,2.0,2.0,4.0
189,2.0,2.0,2.0,2.0,4.0
190,2.0,2.0,2.0,2.0,4.0
191,2.0,2.0,2.0,2.0,4.0
192,2.0,2.0,2.0,2.0,4.0
193,2.0,2.0,2.0,2.0,4.0
194,2.0,2.0,2.0,2.0,4.0
195,2.0,2.0,2.0,2.0,4.0
196,2.0,2.0,2.0,2.0,4.0
197,2.0,2.0,2.0,2.0,4.0
198,2.0,2.0,2.0,2.0,4.0
199,2.0,2.0,2.0,2.0,4.0
200,2.0,2.0,2.0,2.0,4.0
201,2.0,2.0,2.0,2.0,4.0
202,1.0,1.0,1.0,1.0,4.0
203,1.0,1.0,1.0,1.0,4.0
204,1.0,1.0,1.0,1.0,4.0
205,1.0,1.0,1.0,1.0,4.0
206,1.0,1.0,1.0,1.0,4.0
207,1.0,1.0,1.0,1.0,4.0
208,1.0,1.0,1.0,1.0,4.0
209,2.0,1.0,1.0,1.0,4.0
210,2.0,2.0,1.0,1.0,4.0
211,2.0,2.0,2.0,1.0,4.0
212,2.0,2.0,2.0,2.0,4.0
213,2.0,2.0,2.0,2.0,4.0
214,2.0,2.0,2.0,2.0,4.0
215,2.0,2.0,2.0,2.0,4.0
216,2.0,2.0,2.0,2.0,4.0
217,2.0,2.0,2.0,2.0,4.0
218,2.0,2.0,2.0,2.0,4.0
219,2.0,2.0,2.0,2.0,4.0
220,2.0,2.0,2.0,2.0,4.0
221,2.0,2.0,2.0,2.0,4.0
222,2.0,2.0,2.0,2.0,4.0
223,2.0,2.0,2.0,2.0,4.0
224,2.0,2.0,2.0,2.0,4.0
225,2.0,2.0,2.0,2.0,4.0
226,2.0,2.0,2.0,2.0,4.0
227,2.0,2.0,2.0,2.0,4.0
228,2.0,2.0,2.0,2.0,4.0
229,2.0,2.0,2.0,2.0,4.0
230,2.0,2.0,2.0,2.0,4.0
231,2.0,2.0,2.0,2.0,4.0
232,2.0,2.0,2.0,2.0,4.0
233,2.0,2.0,2.0,2.0,4.0
234,2.0,2.0,2.0,2.0,4.0
235,2.0,2.0,2.0,2.0,4.0
236,2.0,2.0,2.0,2.0,4.0
237,2.0,2.0,2.0,2.0,4.0
238,2.0,2.0,2.0,2.0,4.0
239,2.0,2.0,2.0,2.0,4.0
240,2.0,2.0,2.0,2.0,4.0
241,2.0,2.0,2.0,2.0,4.0
242,2.0,2.0,2.0,2.0,4.0
243,2.0,2.0,2.0,2.0,4.0
244,2.0,2.0,2.0,2.0,4.0
245,2.0,2.0,2.0,2.0,4.0
246,2.0,2.0,2.0,2.0,4.0
247,2.0,2.0,2.0,2.0,4.0
248,2.0,2.0,2.0,2.0,4.0
249,2.0,2.0,2.0,2.0,4.0
250,2.0,2.0,2.0,2.0,4.0
251,2.0,2.0,2.0,2.0,4.0
252,2.0,2.0,2.0,2.0,4.0
253,2.0,2.0,2.0,2.0,4.0
254,2.0,2.0,2.0,2.0,4.0
255,2.0,2.0,2.0,2.0,4.0
256,2.0,2.0,2.0,2.0,4.0
